old	new
analyze_cluster_expansion.py	optic_analyze_cluster_expansion.py
analyze_clustering.py	optic_analyze_clustering.py
analyze_clusters.py	optic_annotate_clusters.py
analyze_codeml_kaks.py	codeml2tsv.py
analyze_codeml_sites.py	codemls2tsv.py
analyze_codonbias.py	codonbias_acai2tsv.py
analyze_codonbias_tables.py	codonbias_weights2tsv.py
analyze_duplications.py	optic_analyze_duplications.py
analyze_genes.py	optic_analyze_genes.py
analyze_genetrees.py	optic_analyze_genetrees.py
analyze_logfiles.py	cgat_logfiles2tsv.py
analyze_multiple_orthologs.py	optic_analyze_multiple_orthologs.py
analyze_orthology.py	optic_analyze_orthology.py
analyze_orthology_multiple.py	optic_analyze_orthology_multiple.py
analyze_orthology_pairwise.py	optic_analyze_orthology_pairwise.py
analyze_pairs.py	fasta2distances.py
analyze_predictions.py	gpipe_analyze_predictions.py
analyze_queries.py	gpipe_analyze_queries.py
analyze_ribosomes.py	optic_analyze_ribosomes.py
analyze_sites_slr.py	optic_analyze_sites_slr.py
analyze_synteny.py	optic_analyze_synteny.py
annotator.py	annotator2tsv.py
append_histogram.py	histogram2histogram.py
assignments2pairs.py	gpipe_assignments2pairs.py
bam_correlation.py	bams2correlation.py
blast2alignments.py	blast2fasta.py
cdhit2clusters.py	optic_cdhit2clusters.py
cds2codons.py	optic_cds2codons.py
check_blast_run.py	optic_check_blast_run.py
clade_export.py	optic_clade_export.py
clone_run.py	optic_clone_run.py
cluster_genes_by_category.py	gpipe_cluster_genes_by_category.py
components2clusters.py	optic_components2clusters.py
count_orgs.py	optic_count_orgs.py
create_gbrowser_files.py	gpipe_create_gbrowser_files.py
data2contrasts.py	data2phylocontrasts.py
evaluate_bootstrap.py	optic_evaluate_bootstrap.py
evaluate_mali.py	optic_evaluate_mali.py
evaluate_trees.py	optic_evaluate_trees.py
exonerate2regions.py	gpipe_exonerate2regions.py
exonerate_combine_regions.py	gpipe_exonerate_combine_regions.py
exons2clusters.py	gipe_exonerate_combine_regions.py
exons2exons.py	gpipe_exons2exons.py
exons2genes.py	gpipe_exons2genes.py
exons2map.py	gpipe_exons2map.py
exons2stats.py	gpipe_exons2stats.py
export_aaa.py	gpipe_export_aaa.py
export_all.py	gpipe_export_all.py
export_code.py	gpipe_export_code.py
export_predictions.py	gpipe_export_predictions.py
extract_clade_data.py	optic_export_clade_data.py
extract_regions.py	gpipe_extract_regions.py
filter_fasta.py	gpipe_filter_fasta.py
filter_paralogous_links.py	optic_filter_paralogous_links.py
gbrowser_clone_devel.py	gpipe_gbrowser_clone_devel.py
gbrowser_delete_features.py	gpipe_gbrowser_delete_features.py
gene2gene.py	gpipe_gene2gene.py
genes2quality.py	gpipe_genes2quality.py
get_genes.py	gpipe_get_genes.py
get_predictions.py	gpipe_get_predictions.py
gff2predictions.py	gpipe_gff2predictions.py
grep_predictions.py	gpipe_grep_predictions.py
html_add_toc.py	cgat_html_add_toc.py
id2genes.py	gpipe_id2genes.py
import_extensions.py	cgat_import_extensions.py
liftover_predictions.py	gpipe_liftover_predictions.py
list2regions.py	gpipe_list2regions.py
log2wiki.py	cgat_log2wiki.py
make2help.py	cgat_make2help.py
map_numbers.py	numbers2rgb.py
orthologs2genes.py	optic_orthologs2genes.py
orthologs2list.py	optic_orthologs2list.py
orthologs2transcripts.py	optic_orthologs2transcripts.py
pairs2gene_structure.py	gpipe_pairs2gene_structure.py
patch_translations.py	gpipe_patch_translations.py
plot_duplications.py	optic_plot_duplications.py
plot_multiple_synteny.py	optic_plot_multiple_synteny.py
plot_synteny.py	optic_plot_synteny.py
predict_genes.py	gpipe_predict_genes.py
prediction2pairs.py	gpipe_prediction2pairs.py
predictions2assembly.py	gpipe_predictions2assembly.py
predictions2cds.py	gpipe_predictions2cds.py
predictions2disruptions.py	gpipe_predictions2disruptions.py
predictions2genes.py	gpipe_predictions2genes.py
predictions2introns.py	gpipe_predictions2introns.py
predictions2pseudogenes.py	gpipe_predictions2pseudogenes.py
predictions2transcripts.py	gpipe_predictions2transcripts.py
prune_fasta.py	gpipe_prune_fasta.py
prune_multiple_alignment.py	optic_prune_multiple_alignment.py
rebuild_extensions.py	cgat_rebuild_extensions.py
regions2gff.py	optic_regions2gff.py
regions2graph.py	optic_regions2graph.py
regions2predictions.py	optic_regions2predictions.py
ruffus_profile.py	cgat_ruffus_profile.py
script_template.py	cgat_script_template.py
select_transcripts.py	gpipe_select_transcripts.py
select_transcripts_per_gene.py	gpipe_select_transcripts_per_gene.py
setup.py	gpipe_setup.py
transcripts2links.py	optic_transcripts2links.py
translate_forward2backward.py	gpipe_translate_forward2backward.py
update_blast.py	optic_update_blast.py
update_orthology.py	optic_update_orthology.py

